KEIO STE ID,Status,Safecast ID,Sensor Type,Inspector SN,Feed ID,Feed (Pachube/Safecast),Device ID,Type,Firmware Version,nGeigie ID,Inuse,,Location,___,Address,Latitude,Longitude,Height(m),Indoor/Outdoor,Action needed,__€_Yahoo_______,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0018,,,Inspector Alert,A03374,33842,http://www.pachube.com/feeds/33842,KEIOSTE190,WiFi,12/23/11,,Yes,8/12/11,"Kamakura, Softbank",____________€_____________€_________º_________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T2D0,35.331585,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#019,,,Inspector Alert,A01744,33845,http://www.pachube.com/feeds/33845,KEIOSTE24,/w AP,1/20/12,,Yes,8/12/11,"Fujisawa, Softbank",__________________,________________ ___º_________€€_______________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T2A2,139.478984,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#020,,,Inspector Alert,A01745,34068,http://www.pachube.com/feeds/34068,KEIOSTE26,WiFi,1/20/12,,Yes,9/21/11,"Fukushima2, Softbank",________________,_________________ _____________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H609,140.441629,0.7,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#021,stopped,,Inspector Alert,A01746,34512,http://www.pachube.com/feeds/34512,KEIOSTE27,/w AP,7/21/11,,Yes,9/8/11,"Hakodate, Softbank",_________________,__________________ ___________€____________________,41.773554,140.728907,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#022,,,Inspector Alert,A01747,34513,http://www.pachube.com/feeds/34513,KEIOSTE7,WiFi,12/23/11,,shipped,,,______________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0023,replace,,Inspector Alert,A03483,34514,http://www.pachube.com/feeds/34514,KEIOSTE239,WiFi,1/20/12,,Yes,9/9/11,"Matsudo, Softbank",________________,______________________º_ ______http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T325,139.913891,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#024,,,Inspector Alert,A01968,34515,http://www.pachube.com/feeds/34515,KEIOSTE68,WiFi,1/20/12,,Yes,9/9/11,"Moriya, Softbank",______________,_____ _______________º_ ______€€___________,35.943058,139.993473,1.1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#025,,,Inspector Alert,A01750,34516,http://www.pachube.com/feeds/34516,KEIOSTE31,WiFi,1/20/12,,Yes,9/9/11,"Tsukuba, Softbank",____________________________ _________________________,http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T538,140.086185,0.8,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0026,,,Inspector Alert,A01928,34582,http://www.pachube.com/feeds/34582,KEIOSTE43,WiFi,1/20/12,,Yes,10/9/11,"Iwaki2, Softbank",___________________,____________________ _____________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H638,140.936156,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#027,,,Inspector Alert,A03515,37135,http://www.pachube.com/feeds/37135,KEIOSTE30,WiFi,1/20/12,,Yes,11/29/11,"Motomiya, Softbank",______________,______________ ___________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H642,140.397471,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#028,,,Inspector Alert,A01753,34585,http://www.pachube.com/feeds/34585,KEIOSTE34,WiFi,11/18/11,,Yes,11/28/11,"Soma, Softbank",______________,________________ ___º_________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H613,140.928227,0.6,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#029,,,Inspector Alert,A01754,34586,http://www.pachube.com/feeds/34586,KEIOSTE35,WiFi,1/20/12,,Yes,9/21/11,"Fukushima3, Softbank",________________,____________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H619,140.47323,1.2,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#030,,,Inspector Alert,A01755,34588,http://www.pachube.com/feeds/34588,KEIOSTE36,/w AP,11/25/11,,Yes,9/21/11,"Fukushima4, Softbank",________________,________________ _______________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H618,140.465628,0.8,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#031,,,Inspector Alert,A01756,34976,http://www.pachube.com/feeds/34976,KEIOSTE37,WiFi,11/25/11,,Yes,12/8/11,"Orient Park Asaka, Softbank","_____________________________""________________ ___º___________""",http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H644,140.349124,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0032,,,Inspector Alert,A03515,34977,http://www.pachube.com/feeds/34977,KEIOSTE61,WiFi,1/20/12,,Yes,12/9/11,"KoriyamaTomita, Softbank",_________________,"________________ ___º_______€_€_________
",37.417508,140.362558,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#033,stopped,,Inspector Alert,A01758,34978,http://www.pachube.com/feeds/34978,KEIOSTE39,WiFi,11/25/11,,Yes,12/9/11,"Iwaki3, Softbank",___________________________________________ __________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H641,36.961606,0.7,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0034,,,Inspector Alert,A03113,34979,http://www.pachube.com/feeds/34979,KEIOSTE232,WiFi,1/20/12,,Yes,12/4/11,"Koriyama1, Softbank",_______________,___________________ _____ ________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H637,140.3818303,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0035,,,Inspector Alert,A01757,34980,http://www.pachube.com/feeds/34980,KEIOSTE38,WiFi,1/20/12,,Yes,12/1/11,"Sukagawa1, Softbank",_____________€______,_________€________ ______http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H646,140.3816294,0.8,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#036,,,Inspector Alert,A01927,34985,http://www.pachube.com/feeds/34985,KEIOSTE42,WiFi,11/25/11,,Yes,12/1/11,"FukushimaIshikawa, Softbank",______________________________ _____________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H640,37.1535141,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0037,,,Inspector Alert,A03764,34984,http://www.pachube.com/feeds/34984,KEIOSTE73,WiFi,1/20/12,,Yes,12/2/11,"Kakuda, Softbank",_____________,_____ ________ _____ ______€€__________________,37.981393,140.784087,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0038,,,Inspector Alert,A01926,35179,http://www.pachube.com/feeds/35179,KEIOSTE41,WiFi,1/20/12,,Yes,12/26/11,"Yabuki, Softbank",______________,____________________ ______ __________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H652,140.3307734,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0039,,,Inspector Alert,,35180,http://www.pachube.com/feeds/35180,KEIOSTE99,WiFI,1/20/12,,Yes,12/2/11,"Watari, Softbank",_____________,_____ __________ __________ ___€__ ________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H504,140.8534084,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0040,,,Inspector Alert,A03787,35181,http://www.pachube.com/feeds/35181,KEIOSTE74,WiFi,1/20/12,,Yes,12/1/11,"Shiroishi, Softbank",______________,_____ __________ ___º_ ______http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H501,140.632291,0.8,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0041,,,Inspector Alert,A03561,38687,http://www.pachube.com/feeds/38687,KEIOSTE63,WiFi,1/20/12,,Yes,12/2/11,"Shirakawa1, Softbank",_______________________,_______________ ______http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H649,140.192292,0.95,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#042,,,Inspector Alert,A01748,35178,http://www.pachube.com/feeds/35178,KEIOSTE29,WiFi,1/20/12,,,2/17/12,"TsuchiuraMinami, Softbank",____________________________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T542,36.060766,0.8,Indoor,,1F,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#043,,,Inspector Alert,A01967,35184,http://www.pachube.com/feeds/35184,KEIOSTE49,WiFi,1/20/12,,,2/21/12,"Narisawa, Softbank",______________,_________________ ___º_______http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H422,140.314067,0.85,Indoor,,1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0044,,,Inspector Alert,A01924,37089,http://www.pachube.com/feeds/37089,KEIOSTE40,WiFi,1/20/12,,Yes,12/1/11,"Aizu1, Softbank",_______________€__,______________________ ___º_ ______http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H624,139.9249105,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#045,,,Inspector Alert,A03425,37090,http://www.pachube.com/feeds/37090,KEIOSTE51,WiFi,1/20/12,,instock,2/1/12,"Urawa, Softbank","______________""_________________________º_________€€_______________",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T404,35.857277,139.654395,0.85,Indoor,,,y
#0046,,#0068,Inspector Alert,A01762,37091,http://www.pachube.com/feeds/37091,KEIOSTE7,WiFi,1/20/2012,#003,Yes,12/7/2011,Yatsuyamada"," Softbank""",________________,________________ ___º_____http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H615,37.421416,140.384556,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#047,,,Inspector Alert,A03528,37092,http://www.pachube.com/feeds/37092,KEIOSTE53,WiFi,11/25/11,,Yes,12/9/11,"Koharada, Softbank",_______________, ________________ ___º_________ http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H621,140.385176,0.95,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0048,,,Inspector Alert,A01982,37093,http://www.pachube.com/feeds/37093,KEIOSTE57,WiFi,1/20/12,,shipped,12/12/11,"Kaguike, Softbank",________________,_________________ ___º_______,37.377515,140.374547,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#049,,,Inspector Alert,A03543,37094,http://www.pachube.com/feeds/37094,KEIOSTE55,WiFi,11/25/11,,Yes,12/8/11,"Toramaru, Softbank",______________,________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H610,140.373763,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#050,,,Inspector Alert,A03547,37130,http://www.pachube.com/feeds/37130,KEIOSTE56,WiFi,11/25/11,,Yes,12/7/11,"Ankohdori, Softbank",______________€__,_________________º_________,37.392746,140.354384,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0051,,,Inspector Alert,A03370,37132,http://www.pachube.com/feeds/37132,KEIOSTE189,WiFi,1/20/12,,shipped,12/9/11,"Kuroiso, Softbank",______________,_____________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T612,140.036506,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0052,,,Inspector Alert,A03074,37133,http://www.pachube.com/feeds/37133,KEIOSTE238,WiFi,1/20/12,,Yes,12/7/11,"Matsuegakuen, Softbank",___________________,__________________º___________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=N519,133.071153,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#053,,,Inspector Alert,A03555,37134,http://www.pachube.com/feeds/37134,KEIOSTE60,WiFi,11/25/11,,shipped,12/17/11,"Yaita, Softbank",______________,________________________,36.806753,139.935789,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0054,,,Inspector Alert,A01965,38685,http://www.pachube.com/feeds/38685,KEIOSTE47,WiFi,1/20/12,,shipped,12/21/11,"Tsukidate, Softbank",______________,______________________ ___º_______http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H559,141.016633,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0055,,,Inspector Alert,A01962,38687,http://www.pachube.com/feeds/38687,KEIOSTE46,WiFi,1/20/12,,Yes,12/8/11,"Noda, Softbank",_____________,_________________ ___º___________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H630,140.450189,0.6,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#056,,,Inspector Alert,A03562,38689,http://www.pachube.com/feeds/38689,KEIOSTE65,WiFi,11/25/11,,shipped,12/24/11,"Minami-sanriku, Softbank",_______________,___________________________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H569,141.46353,0,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#057,,,Inspector Alert,A03575,38690,http://www.pachube.com/feeds/38690,KEIOSTE66,WiFi,11/25/11,,shipped,12/21/11,"Okawahara, Softbank",_________________________________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H508,38.055259,0,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#058,,,Inspector Alert,A03579,38691,http://www.pachube.com/feeds/38691,KEIOSTE67,WiFi,11/25/11,,Yes,12/21/11,"Iwanuma, Softbank",______________,________________º_________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H561,140.875187,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#059,,,Inspector Alert,A03697,38694,http://www.pachube.com/feeds/38694,KEIOSTE70,WiFi,11/25/11,,shipped,12/27/11,"SukagawaInter, Softbank",_____________€_________,_________€________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H608,140.361203,0.7,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#060,,,Inspector Alert,A03698,38695,http://www.pachube.com/feeds/38695,KEIOSTE71,WiFi,11/25/11,,shipped,12/22/11,"Shin-Shirakawa, Softbank",________________,____________________,37.117102,140.195733,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#061,,,Inspector Alert,A03710,38696,http://www.pachube.com/feeds/38696,KEIOSTE72,WiFi,11/25/11,,Yes,12/21/11,"Tokai, Softbank",______________,_____________________________________,36.471882,140.548092,0.84,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#062,,,Inspector Alert,A02207,38886,http://www.pachube.com/feeds/38886,KEIOSTE75,WiFi,11/25/11,,shipped,12/21/11,"Yoshinari, Softbank",_____________,_________________ ___º_________,38.289533,140.820595,0.5,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#063,,#0074,Inspector Alert,A01742,38885,http://www.pachube.com/feeds/38885,KEIOSTE24,WiFi,11/25/11,#009,shipped,12/22/11,"Narita, Softbank",_____________,___________________________,35.795139,140.314014,1.5,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#064,,,Inspector Alert,A01751,38697,http://www.pachube.com/feeds/38697,KEIOSTE32,WiFi,11/25/11,,shipped,12/14/11,"Ushiku, Softbank","______________""_______________ ___º_________""",http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T541,140.151627,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#065,,,Inspector Alert,A02213,42004,http://www.pachube.com/feeds/42004,KEIOSTE77,WiFi,12/23/11,,Yes,12/28/11,"Wakkanai, Softbank",_____________,__________________º________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=D329,141.689534,0.7,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#066,,,Inspector Alert,A02219,42005,http://www.pachube.com/feeds/42005,KEIOSTE78,WiFi,12/23/11,,Yes,1/12/12,"Marugameshotengai, Softbank",_____________€_____________________€_______http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=S228,34.344198,0.8,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#067,,,Inspector Alert,A02227,42006,http://www.pachube.com/feeds/42006,KEIOSTE79,WiFi,12/23/11,,shipped,,"Yamatokooriyama, Softbank",_________________,_____________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=K401,135.76797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#068,,,Inspector Alert,A02234,42007,http://www.pachube.com/feeds/42007,KEIOSTE80,WiFi,12/23/11,,Yes,12/27/11,"Yumoto, Softbank",______________,_______________________ ______________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H614,140.868628,1,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#069,v2.1,,Inspector Alert,A02238,42008,http://www.pachube.com/feeds/42008,KEIOSTE81,WiFi,1/20/12,,instock,2/8/12,"Pipeline, Softbank",____________________,__________________º_______,26.243616,127.706264,1,Indoor,,1F,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#070,,,Inspector Alert,A02240,42310,http://www.pachube.com/feeds/42310,KEIOSTE82,WiFi,12/23/11,,Yes,12/29/11,"Nishinasuno, Softbank",_________________,_____________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T619,140.006823,0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#071,,,Inspector Alert,A02242,42311,http://www.pachube.com/feeds/42311,KEIOSTE83,WiFi,12/23/11,,Yes,12/27/11,"Sakuragi, Softbank",_____________,______________________ ___º___________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=TC29,139.054183,0.35,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0072,,,Inspector Alert,A03548,42312,http://www.pachube.com/feeds/42312,KEIOSTE58,WiFi,1/20/12,,Yes,12/27/11,"Shijojimachi, Softbank",_________________,_______________________________ _________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=K320,135.766535,0.91,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#073,,,Inspector Alert,A02253,42313,http://www.pachube.com/feeds/42313,KEIOSTE85,WiFi,12/23/11,,Yes,12/28/11,"Ueda, Softbank",_____________,______________________º_____http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H612,140.775054,0.7,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#074,,,Inspector Alert,A02265,42314,http://www.pachube.com/feeds/42314,KEIOSTE86,WiFi,12/23/11,,shipped,12/27/11,"Kashima, Softbank",______________,__________________________________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H611,140.90734,0.5,Indoor,,___€__________________º______#075,,,Inspector Alert,A03421,42315,http://www.pachube.com/feeds/42315,KEIOSTE87,WiFi,12/23/11,,Yes,12/26/11,"Iwakidaira, Softbank",_________________,______________________ ______________http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=H601,37.053655,140.880027,0.7,Indoor,,,y,,,,,,,,,,,,,,,,,,,
#076,,,Inspector Alert,A03407,42877,http://www.pachube.com/feeds/42877,KEIOSTE88,WiFi,1/20/12,,instock,2/5/12,"Hirara, Softbank",_______________,_________________ ________________,24.80096,125.286948,0.7,Indoor,,1F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0077,,,Inspector Alert,A03413,42878,http://www.pachube.com/feeds/42878,KEIOSTE89,WiFi,12/23/11,,shipped,1/18/11,"Maebashi, Softbank","______________""_______________ ___º_________""",http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=T711,139.066824,0,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#0078,,,Inspector Alert,,42879,http://www.pachube.com/feeds/42879,KEIOSTE90,WiFi,12/23/11,,shipped,1/13/12,"KushiroShowa, Softbank","__________________""__________________ ___º_________""",http://mb.softbank.jp/mb/shop/pc/detail.html?shopId=D341,144.358892,1.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
